Sample	Rep	b0	A	umax	L	z	umax_lw	umax_up	umax_lw_FI	umax_up_FI	TransferTime	Strain	Replicate	Day
L2J5-200	2	0.0452348877448	0.998923611336	0.103924003925	3.88795754278	-4.20492746776	0.101315212258	0.106532795591	0.10131516432	0.106532843529	100	J	5	200
L2J1-100	3	0.0446487582013	0.691522110208	0.0828974202481	5.54076067967	-4.40157076777	0.0795396925964	0.0862551478997	0.0795396308962	0.0862552095999	100	J	1	100
L2J5-200	3	0.0407802170531	0.988527855574	0.103026798193	3.53086023967	-4.18989842612	0.100362900793	0.105690695593	0.100362851842	0.105690744544	100	J	5	200
L2J1-100	1	0.0548400755638	0.540883854305	0.0941957073605	5.52361298261	-4.31932491973	0.088990481154	0.099400933567	0.088990385505	0.099401029216	100	J	1	100
L2J5-200	1	0.0405983074568	0.983681814343	0.099359066816	3.79060096522	-4.24763868983	0.0968900554876	0.101828078144	0.0968900101181	0.101828123514	100	J	5	200
L2J2-100	2	0.0475882240519	0.723386849502	0.079376552678	13.6642130459	-4.38080332682	0.0766033923019	0.0821497130541	0.0766033413435	0.0821497640125	100	J	2	100
L2J2-100	3	0.0464881762886	0.735930911	0.0700577980328	13.8323895205	-4.80431629086	0.0686648102974	0.0714507857681	0.0686647847004	0.0714508113651	100	J	2	100
L0P4-100	1	0.0263238785848	0.730711164771	0.0756082184784	2.3805419135	-3.61626386409	0.0716427251577	0.0795737117992	0.0716426522894	0.0795737846674	1	P	4	100
L0P1-100	2	0.0175641420987	0.755857834817	0.0688325093052	2.07760672196	-3.70390142103	0.0657672863548	0.0718977322556	0.0657672300295	0.0718977885808	1	P	1	100
L0P5-100	2	-0.0492923221573	0.835751683401	0.0560842033395	0.097253230617	-3.50647802272	0.0534001047436	0.0587683019354	0.0534000554218	0.0587683512573	1	P	5	100
L0P1-100	3	0.00439139505997	0.784699372432	0.063143021295	1.6397079559	-3.62871665196	0.0603604354073	0.0659256071828	0.0603603842757	0.0659256583144	1	P	1	100
L0P5-100	3	-0.0199204323957	0.79055680443	0.056982710377	0.745739210243	-3.48108890912	0.0541299132065	0.0598355075475	0.0541298607847	0.0598355599693	1	P	5	100
L0P1-100	1	0.0337748780138	0.708146572155	0.0763485376421	2.6992696233	-3.67229893972	0.0724848190491	0.0802122562351	0.0724847480511	0.0802123272332	1	P	1	100
L0P5-100	1	-0.0354830029374	0.84014103595	0.0567207726095	0.595064721715	-3.6357056434	0.0543697295644	0.0590718156546	0.0543696863626	0.0590718588563	1	P	5	100
L0P2-100	2	0.00964401327209	0.780327223771	0.062774652881	1.89745869544	-3.73000269693	0.0602492008385	0.0653001049235	0.0602491544319	0.0653001513301	1	P	2	100
L1P1-200	2	0.00959358904854	0.808710805041	0.0540585626362	2.33543143734	-3.61473462716	0.05175268045	0.0563644448224	0.0517526380781	0.0563644871943	10	P	1	200
L0P2-100	3	0.00908574523298	0.763759311156	0.066904809432	1.86692980682	-3.68610287294	0.0639013959507	0.0699082229134	0.0639013407612	0.0699082781028	1	P	2	100
L1P1-200	3	0.0232176331091	0.779332973157	0.0548258411917	3.03911052809	-4.19134870837	0.0534070064168	0.0562446759666	0.0534069803449	0.0562447020385	10	P	1	200
L0P2-100	1	-0.0116599797593	0.774687691362	0.0531038848156	1.29203493937	-3.52637264296	0.0504809552354	0.0557268143958	0.0504809070376	0.0557268625936	1	P	2	100
L1P1-200	1	0.0092386521214	0.789628351172	0.0525718782733	2.48584380289	-3.74451039286	0.0505040430488	0.0546397134978	0.0505040050512	0.0546397514955	10	P	1	200
L0P3-100	2	0.0174963666836	0.767813737986	0.0622255585133	2.07823609498	-3.79500712614	0.0598614446085	0.064589672418	0.0598614011666	0.06458971586	1	P	3	100
L1P2-200	2	0.0171028176923	0.808938653921	0.0586810801393	3.04687010034	-4.03698228296	0.0569794367842	0.0603827234943	0.0569794055156	0.060382754763	10	P	2	200
L0P3-100	3	0.0166322559399	0.759484652331	0.0670107518166	2.05733357142	-3.66110082029	0.0639949528697	0.0700265507634	0.0639948974526	0.0700266061805	1	P	3	100
L1P2-200	3	0.0105632616248	0.818624896471	0.0553654019738	2.85442610444	-3.76897688104	0.053299910524	0.0574308934236	0.0532998725694	0.0574309313782	10	P	2	200
L0P3-100	1	0.0264741225459	0.691095981899	0.0717336779495	2.59915821612	-3.82742088352	0.0684106445919	0.075056711307	0.0684105835292	0.0750567723697	1	P	3	100
